"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex",":@computed_region_efsh_h5xi",":@computed_region_f5dn_yrer",":@computed_region_yeji_bk3q",":@computed_region_92fq_4b7q",":@computed_region_sbqj_enih"
"261162330","2022-12-02T00:00:00.000","08:00:00","2022-12-30T00:00:00.000","14:00:00","122","2022-12-31T00:00:00.000","109","GRAND LARCENY","439","LARCENY,GRAND FROM OPEN AREAS, UNATTENDED","COMPLETED","FELONY","STATEN ISLAND","FRONT OF","MAILBOX OUTSIDE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","958560","152337","UNKNOWN","UNKNOWN","U",,"40.58477","-74.092488","(40.58477, -74.092488)","PATROL BORO STATEN ISLAND","(null)","45-64","WHITE","M","10692","30","1","14","76"
"261169025","2022-12-04T00:00:00.000","11:33:00","2022-12-04T00:00:00.000","11:43:00","63","2022-12-31T00:00:00.000","578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","BROOKLYN","(null)","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1002044","166232","65+","BLACK","F",,"40.622928","-73.935897","(40.622928, -73.935897)","PATROL BORO BKLYN SOUTH","(null)","25-44","BLACK","F","13825","5","2","26","38"
"261167629","2022-11-16T00:00:00.000","18:00:00","2022-11-16T00:00:00.000","22:00:00","67","2022-12-31T00:00:00.000","109","GRAND LARCENY","458","LARCENY,GRAND FROM RESIDENCE/BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","COMPLETED","FELONY","BROOKLYN","FRONT OF","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","997750","172554","UNKNOWN","UNKNOWN","U",,"40.640287","-73.951356","(40.640287, -73.951356)","PATROL BORO BKLYN SOUTH","(null)","25-44","BLACK","M","13510","61","2","26","40"
"261179558","2022-12-02T00:00:00.000","15:00:00","2022-12-02T00:00:00.000","15:30:00","48","2022-12-31T00:00:00.000","104","RAPE","159","RAPE 1,ATTEMPT","ATTEMPTED","FELONY","BRONX","INSIDE","PUBLIC BUILDING","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1011751","246839","25-44","BLACK HISPANIC","M",,"40.8441566000203","-73.9006054489734","(40.8441566000203, -73.9006054489734)","PATROL BORO BRONX","(null)","<18","BLACK","F","10935","35","5","22","31"
"261175507","2022-11-20T00:00:00.000","13:30:00","2022-11-20T00:00:00.000","14:00:00","45","2022-12-31T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1031795","259046","45-64","BLACK","M",,"40.87757","-73.828071","(40.87757, -73.828071)","PATROL BORO BRONX","(null)","45-64","BLACK","F","12344","43","5","2","28"
"261173351","2022-12-01T00:00:00.000","19:00:00","2022-12-30T00:00:00.000","10:00:00","23","2022-12-31T00:00:00.000","578","HARRASSMENT 2","638","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","999164","228518","(null)","(null)","(null)",,"40.793893","-73.946136","(40.793893, -73.946136)","PATROL BORO MAN NORTH","(null)","45-64","BLACK","F","12426","7","4","35","14"
"261171892","2022-11-28T00:00:00.000","00:01:00","2022-12-06T00:00:00.000","23:59:00","13","2022-12-31T00:00:00.000","341","PETIT LARCENY","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","989627","207450","(null)","(null)","(null)",,"40.736077","-73.980595","(40.736077, -73.980595)","PATROL BORO MAN SOUTH","(null)","45-64","BLACK","F","12073","71","4","50","7"
"261162294","2022-12-03T00:00:00.000","01:20:00","2022-12-03T00:00:00.000","04:00:00","68","2022-12-31T00:00:00.000","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","978404","164747","(null)","(null)","(null)",,"40.618867","-74.021057","(40.618867, -74.021057)","PATROL BORO BKLYN SOUTH","(null)","25-44","WHITE","M","13511","10","2","44","41"
"261165498","2022-11-28T00:00:00.000","09:00:00","2022-12-26T00:00:00.000","09:00:00","84","2022-12-31T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","986790","194412","25-44","BLACK","U",,"40.700294","-73.990838","(40.700294, -73.990838)","PATROL BORO BKLYN NORTH","(null)","25-44","BLACK","F","16865","68","2","38","54"
"261170564","2022-12-03T00:00:00.000","16:01:00","2022-12-03T00:00:00.000","16:02:00","106","2022-12-31T00:00:00.000","121","CRIMINAL MISCHIEF & RELATED OF","269","MISCHIEF,CRIMINAL,    UNCL 2ND","COMPLETED","FELONY","QUEENS","INSIDE","(null)","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1031898","186189","45-64","BLACK","M",,"40.677597","-73.828216","(40.677597, -73.828216)","PATROL BORO QUEENS SOUTH","(null)","UNKNOWN","UNKNOWN","D","24016","62","3","46","64"
"261176844","2022-11-14T00:00:00.000","18:23:00","2022-11-14T00:00:00.000","18:30:00","90","2022-12-31T00:00:00.000","578","HARRASSMENT 2","637","HARASSMENT,SUBD 1,CIVILIAN","COMPLETED","VIOLATION","BROOKLYN","INSIDE","RESIDENCE - PUBLIC HOUSING","N.Y. HOUSING POLICE","2","(null)","(null)","445","1001059","196145","25-44","BLACK","M",,"40.705035","-73.939373","(40.705035, -73.939373)","PATROL BORO BKLYN NORTH","(null)","45-64","BLACK","F","17213","36","2","30","56"
"261175549","2022-12-03T00:00:00.000","18:00:00","2022-12-31T00:00:00.000","18:10:00","77","2022-12-31T00:00:00.000","341","PETIT LARCENY","349","LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","BROOKLYN","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","995502","185795","UNKNOWN","UNKNOWN","U",,"40.67663392","-73.95943441","(40.67663392, -73.95943441)","PATROL BORO BKLYN NORTH","(null)","25-44","BLACK","M","13829","16","2","48","49"
"261179522","2022-11-22T00:00:00.000","20:00:00",,"(null)","33","2022-12-31T00:00:00.000","341","PETIT LARCENY","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1000641","242672","(null)","(null)","(null)",,"40.832739","-73.940768","(40.832739, -73.940768)","PATROL BORO MAN NORTH","(null)","25-44","WHITE HISPANIC","F","13090","47","4","23","21"
"261188327","2022-11-25T00:00:00.000","09:03:00",,"(null)","71","2022-12-30T00:00:00.000","341","PETIT LARCENY","339","LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","BROOKLYN","(null)","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1003938","181924","(null)","(null)","(null)",,"40.665996","-73.929029","(40.665996, -73.929029)","PATROL BORO BKLYN SOUTH","(null)","25-44","BLACK","F","17615","17","2","17","44"
"261138153","2022-11-10T00:00:00.000","20:00:00","2022-12-30T00:00:00.000","15:59:00","14","2022-12-30T00:00:00.000","110","GRAND LARCENY OF MOTOR VEHICLE","455","LARCENY,GRAND OF TRUCK","COMPLETED","FELONY","MANHATTAN","(null)","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","986320","213788","(null)","(null)","(null)",,"40.75347491","-73.99252865","(40.75347491, -73.99252865)","PATROL BORO MAN SOUTH","(null)","UNKNOWN","UNKNOWN","D","12080","12","4","10","8"
"261150775","2022-12-05T00:00:00.000","12:56:00","2022-12-05T00:00:00.000","17:00:00","83","2022-12-30T00:00:00.000","341","PETIT LARCENY","353","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT OUTSIDE","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1007864","193604","(null)","(null)","(null)",,"40.698045","-73.914838","(40.698045, -73.914838)","PATROL BORO BKLYN NORTH","(null)","25-44","ASIAN / PACIFIC ISLANDER","F","13828","42","2","37","53"
"261179658","2022-12-07T00:00:00.000","06:37:00","2022-12-07T00:00:00.000","19:00:00","115","2022-12-30T00:00:00.000","341","PETIT LARCENY","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","COMPLETED","MISDEMEANOR","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1013853","212108","UNKNOWN","UNKNOWN","U",,"40.748817","-73.893158","(40.748817, -73.893158)","PATROL BORO QUEENS NORTH","(null)","25-44","ASIAN / PACIFIC ISLANDER","M","14783","65","3","5","73"
"261136142","2022-11-17T00:00:00.000","03:00:00","2022-11-17T00:00:00.000","07:00:00","60","2022-12-30T00:00:00.000","109","GRAND LARCENY","421","LARCENY,GRAND FROM VEHICLE/MOTORCYCLE","COMPLETED","FELONY","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","986002","149858","(null)","(null)","(null)",,"40.578004","-73.993693","(40.578004, -73.993693)","PATROL BORO BKLYN SOUTH","(null)","25-44","WHITE","M","18184","21","2","45","35"
"261169036","2022-12-01T00:00:00.000","18:00:00","2022-12-30T00:00:00.000","16:00:00","75","2022-12-30T00:00:00.000","341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1016486","182913","(null)","(null)","(null)",,"40.668673","-73.883794","(40.668673, -73.883794)","PATROL BORO BKLYN NORTH","(null)","UNKNOWN","UNKNOWN","M","17214","45","2","25","47"
"261180944","2022-11-17T00:00:00.000","22:30:00","2022-11-18T00:00:00.000","06:00:00","18","2022-12-30T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","MANHATTAN","FRONT OF","STREET","N.Y. POLICE DEPT","0","(null)","(null)","(null)","987958","217673","UNKNOWN","UNKNOWN","U",,"40.76414","-73.986612","(40.76414, -73.986612)","PATROL BORO MAN SOUTH","(null)","45-64","WHITE","M","12081","12","4","10","10"
"261153654","2022-12-07T00:00:00.000","13:49:00","2022-12-30T00:00:00.000","21:10:00","109","2022-12-30T00:00:00.000","351","CRIMINAL MISCHIEF & RELATED OF","271","TAMPERING 3,2, CRIMINAL","COMPLETED","MISDEMEANOR","QUEENS","INSIDE","CHURCH","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1031399","216337","(null)","(null)","(null)",,"40.760346","-73.829802","(40.760346, -73.829802)","PATROL BORO QUEENS NORTH","(null)","UNKNOWN","UNKNOWN","D","13832","22","3","3","67"
"261233398","2022-11-26T00:00:00.000","15:05:00","2022-11-26T00:00:00.000","15:10:00","17","2022-12-30T00:00:00.000","341","PETIT LARCENY","352","LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE","COMPLETED","MISDEMEANOR","MANHATTAN","FRONT OF","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","990488","210547","UNKNOWN","UNKNOWN","U",,"40.744578","-73.977485","(40.744578, -73.977485)","PATROL BORO MAN SOUTH","(null)","25-44","ASIAN / PACIFIC ISLANDER","F","12078","71","4","50","9"
"261166597","2022-12-06T00:00:00.000","15:03:00","2022-12-08T00:00:00.000","09:28:00","68","2022-12-30T00:00:00.000","109","GRAND LARCENY","422","LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)","COMPLETED","FELONY","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","980514","164414","UNKNOWN","UNKNOWN","U",,"40.617956","-74.013456","(40.617956, -74.013456)","PATROL BORO BKLYN SOUTH","(null)","45-64","WHITE","M","13511","10","2","44","41"
"261147523","2022-12-01T00:00:00.000","12:00:00","2022-12-14T00:00:00.000","23:00:00","52","2022-12-30T00:00:00.000","109","GRAND LARCENY","422","LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)","COMPLETED","FELONY","BRONX","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","1015831","259793","(null)","(null)","(null)",,"40.879691","-73.885796","(40.879691, -73.885796)","PATROL BORO BRONX","(null)","65+","BLACK","F","11606","24","5","40","34"
"261134088","2022-12-06T00:00:00.000","16:30:00","2022-12-06T00:00:00.000","16:30:00","67","2022-12-30T00:00:00.000","341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","(null)","(null)","(null)","998722","173864","UNKNOWN","UNKNOWN","U",,"40.643884","-73.947851","(40.643884, -73.947851)","PATROL BORO BKLYN SOUTH","(null)","65+","BLACK","F","13510","61","2","26","40"
